"","S.Score","G2M.Score","Phase"
"A4.MAA000639.3_9_M.1.1",0.946945317192196,2.90856006945639,"G2M"
"A4.MAA000652.3_10_M.1.1",-0.572045893914367,-0.592382271877542,"G1"
"A4.MAA000844.3_10_M.1.1",-0.931950542669522,-0.652365296574591,"G1"
"A4.MAA000848.3_10_M.1.1",0.364110818318349,3.01871386774264,"G2M"
"A4.MAA001844.3_38_F.1.1",-0.605387791912823,-0.611794253244321,"G1"
"A4.MAA001884.3_38_F.1.1",-0.794124966044379,-0.985356211943972,"G1"
"A5.D041912.3_8_M.1.1",1.83416247809915,2.05624118521298,"G2M"
"A5.D042044.3_9_M.1.1",-0.446363858003825,-0.313815832003346,"G1"
"A5.D042193.3_8_M.1.1",-0.90535474323539,-0.970491741204712,"G1"
"A5.D042479.3_8_M.1.1",-0.354892845691187,-0.504891831136394,"G1"
"A5.MAA000409.3_10_M.1.1",-1.22378551597861,-0.0650655664882251,"G1"
"A5.MAA000600.3_8_M.1.1",2.12567675176518,1.68994091190784,"S"
"A5.MAA000652.3_10_M.1.1",-0.570086824195334,-0.135749634984107,"G1"
"A5.MAA000844.3_10_M.1.1",-0.728514072228852,-0.660568045006863,"G1"
"A5.MAA000848.3_10_M.1.1",0.021256146366659,-1.15108546649763,"S"
"A5.MAA001844.3_38_F.1.1",1.16321713518034,-0.339874962553934,"S"
"A5.MAA001883.3_39_F.1.1",-0.804153156956228,-0.779653292877695,"G1"
"A5.MAA001884.3_38_F.1.1",-0.424974074573855,-0.364248826880961,"G1"
"A5.MAA001887.3_39_F.1.1",1.51905440782922,1.13408598678319,"S"
"A6.D041912.3_8_M.1.1",-0.795836921819503,-0.400724402813429,"G1"
"A6.D042044.3_9_M.1.1",-0.716018467907536,-0.373282495113875,"G1"
"A6.D042193.3_8_M.1.1",-1.48791055677647,-1.20329723306363,"G1"
"A6.D042479.3_8_M.1.1",-0.871724582008002,-0.834961606593289,"G1"
"A6.MAA000409.3_10_M.1.1",-0.995634249771141,-0.638012360019204,"G1"
"A6.MAA000600.3_8_M.1.1",0.814694661801929,-0.848397178481094,"S"
"A6.MAA000639.3_9_M.1.1",-0.502736020826557,-0.323747727683076,"G1"
"A6.MAA000652.3_10_M.1.1",-0.564679869137333,-0.656759601362927,"G1"
"A6.MAA000844.3_10_M.1.1",-0.602193529587488,-0.326403755327421,"G1"
"A6.MAA000848.3_10_M.1.1",-0.126190380767558,-0.776931939444126,"G1"
"A6.MAA001883.3_39_F.1.1",2.61735352224405,-0.14712047818609,"S"
"A6.MAA001884.3_38_F.1.1",-0.461705462096252,-0.0875476051137298,"G1"
"A6.MAA001887.3_39_F.1.1",1.34385469883425,-0.546806069030793,"S"
"A7.D041912.3_8_M.1.1",-0.939505942575795,-1.12898177847879,"G1"
"A7.D042044.3_9_M.1.1",-0.0966328031061272,-0.807494551385744,"G1"
"A7.D042193.3_8_M.1.1",-1.06922113180131,-0.888042084231432,"G1"
"A7.D042479.3_8_M.1.1",-0.00961222143486129,-0.820596114967252,"G1"
"A7.D045139.3_39_F.1.1",-0.620435620137107,-0.392296868212038,"G1"
"A7.MAA000409.3_10_M.1.1",0.865221973714067,0.227029506299718,"S"
"A7.MAA000600.3_8_M.1.1",-0.531968883670047,-1.07510345408275,"G1"
"A7.MAA000652.3_10_M.1.1",-0.717249270344971,-0.28364892682524,"G1"
"A7.MAA000844.3_10_M.1.1",-0.308466062721865,-0.0880215695212648,"G1"
"A7.MAA000848.3_10_M.1.1",-0.299048540966088,-0.79661990771081,"G1"
"A7.MAA001883.3_39_F.1.1",-0.778923678029454,-0.510201966702212,"G1"
"A7.MAA001884.3_38_F.1.1",-0.730006341057253,-0.619111102948976,"G1"
"A7.MAA001887.3_39_F.1.1",1.27075632018055,0.978423255415214,"S"
"A8.D041912.3_8_M.1.1",-0.695909385484754,-0.570350515372999,"G1"
"A8.D042044.3_9_M.1.1",-0.542884324931405,-0.721893907179147,"G1"
"A8.D042479.3_8_M.1.1",-0.193689578210891,-0.759989901519434,"G1"
"A8.MAA000409.3_10_M.1.1",0.000610329359646222,2.91723965625237,"G2M"
"A8.MAA000600.3_8_M.1.1",-0.167821881305399,-0.595530993868787,"G1"
"A8.MAA000639.3_9_M.1.1",1.8505579655535,2.10870950099915,"G2M"
"A8.MAA000652.3_10_M.1.1",-0.395085314662945,-0.534945660502519,"G1"
"A8.MAA000844.3_10_M.1.1",-0.46438673774769,-0.149995719874488,"G1"
"A8.MAA000848.3_10_M.1.1",-1.1783975036661,2.08287395738318,"G2M"
"A8.MAA001842.3_38_F.1.1",-0.559193229254776,-0.402149202847883,"G1"
"A8.MAA001844.3_38_F.1.1",-0.798192140381736,2.18634240240935,"G2M"
